,language,glottocode,lemma,pos,reference,meaning_ru,target_ipa,russian_ipa,metathesis,problems
1483,Botlikh,botl1242,курп/а́,noun,"Saidova, Abusov 2012",крупа,k-u-r-p-'a,k-r-U-p-'a,1,
1484,Botlikh_Al,botl1242,ку́рпа,noun,"Alekseev, Azayev 2019",крупа,k-'u-r-p-a,k-r-U-p-'a,1,
1485,Godoberi,ghod1238,КУРПÁ,,Saidova 2006,крупа,k-u-r-p-'a,k-r-U-p-'a,1,
1486,Karata-Tukita,kara1474,КУРПА',,"Magomedova, Khalidova 2001",крупа,k-u-r-p-'a,k-r-U-p-'a,1,
1487,Avar,avar1256,кружóк,,Gimbatov 2006,кружок,k-r-u-ʒ-'o-k,k-r-U-ʐ-'o-k,,
1488,Bagvalal,bagv1239,КУРЖÓК,,Magomedova 2004,кружок,k-u-r-ʒ-'o-k,k-r-U-ʐ-'o-k,1,
1489,Botlikh_Al,botl1242,куржо́к,noun,"Alekseev, Azayev 2019",кружок,k-u-r-ʒ-'o-k,k-r-U-ʐ-'o-k,1,
1490,Godoberi,ghod1238,КУРЖУ́К/У,,Saidova 2006,кружок,k-u-r-ʒ-'u-k-u,k-r-U-ʐ-'o-k-0,1,
1491,Botlikh_Al,botl1242,ку́ржа,noun,"Alekseev, Azayev 2019",кружева,k-'u-r-ʒ-0-0-a,k-r-'u-ʐ-E-v-A,1,
1492,Avar,avar1256,крѝзис,,Gimbatov 2006,кризис,k-r-'i-z-i-s,k-rʲ-'i-zʲ-I-s,,
1493,Akhvakh,akhv1239,ки'ргIали,noun,"Magomedova, Abdulayeva 2007",креалин,k-'i-r-ʕ-a-l-i-0,k-rʲ-E-0-A-lʲ-'i-n,1,
1494,Avar,avar1256,кредѝт,,Gimbatov 2006,кредит,k-r-e-d-'i-t,k-rʲ-E-dʲ-'i-t,,
1495,Avar,avar1256,крем,,Gimbatov 2006,крем,k-r-e-m,k-rʲ-'e-m,,
1496,Avar,avar1256,кула́к,,Gimbatov 2006,кулак,k-u-l-'a-k,k-U-l-'a-k,,
1497,Bagvalal,bagv1239,КУЛÁК,,Magomedova 2004,кулак,k-u-l-'a-k,k-U-l-'a-k,,
1498,Botlikh_Al,botl1242,кула́к,noun,"Alekseev, Azayev 2019",кулак,k-u-l-'a-k,k-U-l-'a-k,,
1499,Avar,avar1256,культýра,,Gimbatov 2006,культура,k-u-l-t-'u-r-a,k-U-lʲ-t-'u-r-A,,
1500,Bagvalal,bagv1239,КУЛТ́УРА,,Magomedova 2004,культура,k-u-l-t-'u-r-a,k-U-lʲ-t-'u-r-A,,
1501,Botlikh_Al,botl1242,култу́ра,noun,"Alekseev, Azayev 2019",культура,k-u-l-t-'u-r-a,k-U-lʲ-t-'u-r-A,,
1502,Botlikh_Al,botl1242,култпахо́д,noun,"Alekseev, Azayev 2019",культпоход,k-u-l-t-p-a-χ-'o-d,k-ˌu-lʲ-t-p-O-x-'o-D,,
1503,Botlikh_Al,botl1242,купа́лник,noun,"Alekseev, Azayev 2019",купальник,k-u-p-'a-l-n-i-k,k-U-p-'a-lʲ-nʲ-I-k,,
1504,Avar,avar1256,купé,,Gimbatov 2006,купе,k-u-p-'e,k-U-p-'e,,
1505,Bagvalal,bagv1239,КУПÉ,,Magomedova 2004,купе,k-u-p-'e,k-U-p-'e,,
1506,Botlikh_Al,botl1242,купе́,noun,"Alekseev, Azayev 2019",купе,k-u-p-'e,k-U-p-'e,,
1507,Avar,avar1256,куплéт,,Gimbatov 2006,куплет,k-u-p-l-'e-t,k-U-p-lʲ-'e-t,,
1508,Bagvalal,bagv1239,КУПЛÉТ,,Magomedova 2004,куплет,k-u-p-l-'e-t,k-U-p-lʲ-'e-t,,
1509,Botlikh_Al,botl1242,купле́т,noun,"Alekseev, Azayev 2019",куплет,k-u-p-l-'e-t,k-U-p-lʲ-'e-t,,
1510,Avar,avar1256,купéц,,Gimbatov 2006,купец,k-u-p-'e-ts,k-U-pʲ-'e-ts,,
1511,Bagvalal,bagv1239,КУПÉЦ,,Magomedova 2004,купец,k-u-p-'e-ts,k-U-pʲ-'e-ts,,
1512,Andi,andi1255,купеси,,Salimov 2010,купец,k-u-p-e-s-i,k-U-pʲ-'e-ts-0,,
1513,Avar,avar1256,курóрт,,Gimbatov 2006,курорт,k-u-r-'o-r-t,k-U-r-'o-r-t,,
1514,Botlikh_Al,botl1242,куро́рт,noun,"Alekseev, Azayev 2019",курорт,k-u-r-'o-r-t,k-U-r-'o-r-t,,
1515,Avar,avar1256,курса́нт,,Gimbatov 2006,курсант,k-u-r-s-'a-n-t,k-U-r-s-'a-n-t,,
1516,Botlikh_Al,botl1242,курса́нт,noun,"Alekseev, Azayev 2019",курсант,k-u-r-s-'a-n-t,k-U-r-s-'a-n-t,,
1517,Botlikh_Al,botl1242,куха́рка,noun,"Alekseev, Azayev 2019",кухарка,k-u-χ-'a-r-k-a,k-U-x-'a-r-k-A,,
1518,Avar,avar1256,квас,,Gimbatov 2006,квас,k-w-a-s,k-v-'a-s,,
1519,Botlikh_Al,botl1242,квас,noun,"Alekseev, Azayev 2019",квас,k-w-a-s,k-v-'a-s,,
1520,Avar,avar1256,ква́ртал,,Gimbatov 2006,квартал,k-w-'a-r-t-a-l,k-v-A-r-t-'a-l,,
1521,Botlikh,botl1242,ква́ртал,noun,"Saidova, Abusov 2012",квартал,k-w-'a-r-t-a-l,k-v-A-r-t-'a-l,,
1522,Avar,avar1256,квартѝра,,Gimbatov 2006,квартира,k-w-a-r-t-'i-r-a,k-v-A-r-tʲ-'i-r-A,,
1523,Botlikh,botl1242,кварти́ра,noun,"Saidova, Abusov 2012",квартира,k-w-a-r-t-'i-r-a,k-v-A-r-tʲ-'i-r-A,,
1524,Andi,andi1255,квитанциъи,,Salimov 2010,квитанция,k-w-i-t-a-n-ts-i-ʔ-i,k-vʲ-I-t-'a-n-ts-I-j-A,,
1525,Avar,avar1256,квита́нция,,Gimbatov 2006,квитанция,k-w-i-t-'a-n-ts-i-j-a,k-vʲ-I-t-'a-n-ts-I-j-A,,
1526,Botlikh_Al,botl1242,ке́те,noun,"Alekseev, Azayev 2019",кеды,k-'e-t-e,kʲ-'e-d-I,,
1527,Botlikh_Al,botl1242,кепка,noun,"Alekseev, Azayev 2019",кепка,k-e-p-k-a,kʲ-'e-p-k-A,,
1528,Botlikh_Al,botl1242,ки́лка,noun,"Alekseev, Azayev 2019",килька,k-'i-l-k-a,kʲ-'i-lʲ-k-A,,
1529,Avar,avar1256,китéл/ь,,Gimbatov 2006,китель,k-'i-t-e-l,kʲ-'i-tʲ-E-lʲ,,
1530,Botlikh_Al,botl1242,ки́тел,noun,"Alekseev, Azayev 2019",китель,k-'i-t-e-l,kʲ-'i-tʲ-E-lʲ,,
1531,Botlikh_Al,botl1242,кираси́нка,noun,"Alekseev, Azayev 2019",керосинка,k-i-r-a-s-'i-n-k-a,kʲ-E-r-O-sʲ-'i-n-k-A,,
1532,Avar,avar1256,киóск,,Gimbatov 2006,киоск,k-i-'o-s-k,kʲ-I-'o-s-k,,
1533,Botlikh_Al,botl1242,кио́ск,noun,"Alekseev, Azayev 2019",киоск,k-i-'o-s-k,kʲ-I-'o-s-k,,
1534,Akhvakh,akhv1239,кило',noun,"Magomedova, Abdulayeva 2007",кило,k-i-l-'o,kʲ-I-l-'o,,
1535,Avar,avar1256,кѝл/о,,Gimbatov 2006,килограмм,k-'i-l-'o,kʲ-I-l-'o,,
1536,Botlikh,botl1242,кил/о́,noun,"Saidova, Abusov 2012",кило,k-i-l-'o,kʲ-I-l-'o,,
1537,Botlikh_Al,botl1242,кило́,noun,"Alekseev, Azayev 2019",кило,k-i-l-'o,kʲ-I-l-'o,,
1538,Godoberi,ghod1238,КИЛ/Ó,,Saidova 2006,кило,kʲ-i-l-'o,kʲ-I-l-'o,,
1539,Karata-Tukita,kara1474,КИ'ЛО,,"Magomedova, Khalidova 2001",кило,k-'i-l-o,kʲ-I-l-'o,,
1540,Tindi,tind1238,КЍЛА,,Magomedova 2003,кило,k-i-l-a,kʲ-I-l-'o,,
1541,Avar,avar1256,килóметр,,Gimbatov 2006,километр,k-i-l-'o-m-'e-t-r,kʲ-I-l-O-mʲ-'e-t-r,,
1542,Andi,andi1255,киламетра,,Salimov 2010,километр,k-i-l-a-m-e-t-r-a,kʲ-I-l-O-mʲ-'e-t-r-0,,
1543,Botlikh,botl1242,киламе́тра,noun,"Saidova, Abusov 2012",километр,k-i-l-a-m-'e-t-r-a,kʲ-I-l-O-mʲ-'e-t-r-0,,
1544,Botlikh_Al,botl1242,кило́метра,noun,"Alekseev, Azayev 2019",километр,k-i-l-'o-m-e-t-r-a,kʲ-I-l-O-mʲ-'e-t-r-0,,
1545,Godoberi,ghod1238,КИЛАМÉТРА,,Saidova 2006,километр,kʲ-i-l-a-m-'e-t-r-a,kʲ-I-l-O-mʲ-'e-t-r-0,,
1546,Botlikh_Al,botl1242,кимано́,noun,"Alekseev, Azayev 2019",кимоно,k-i-m-a-n-'o,kʲ-I-m-O-n-'o,,
1547,Avar,avar1256,кин/ó,,Gimbatov 2006,кино,k-i-n-'o,kʲ-I-n-'o,,
1548,Botlikh_Al,botl1242,кино́,noun,"Alekseev, Azayev 2019",кино,k-i-n-'o,kʲ-I-n-'o,,
1550,Godoberi,ghod1238,КИН/Ó,,Saidova 2006,кино,kʲ-i-n-'o,kʲ-I-n-'o,,
1551,Botlikh_Al,botl1242,киноактёр,noun,"Alekseev, Azayev 2019",киноактёр,k-i-n-o-a-k-tʲ-o-r,kʲ-ˌi-n-O-A-k-tʲ-'o-r,,
1552,Botlikh_Al,botl1242,киноапара́т,noun,"Alekseev, Azayev 2019",киноаппарат,k-i-n-o-a-p-a-r-'a-t,kʲ-ˌi-n-O-A-p-A-r-'a-t,,
1553,Botlikh_Al,botl1242,кирага́з,noun,"Alekseev, Azayev 2019",керогаз,k-i-r-a-ɡ-'a-z,kʲ-I-r-O-g-'a-Z,,
1554,Avar,avar1256,кирпѝч,,Gimbatov 2006,кирпич,k-i-r-p-'i-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1555,Bagvalal,bagv1239,КИРП́ИЧ,,Magomedova 2004,кирпич,k-i-r-p-'i-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1556,Botlikh_Al,botl1242,кирпи́ч,noun,"Alekseev, Azayev 2019",кирпич,k-i-r-p-'i-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1557,Botlikh,botl1242,кирпи́ч,noun,"Saidova, Abusov 2012",кирпич,k-i-r-p-'i-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1558,Karata-Tukita,kara1474,КЕ'РБЕЧ,,"Magomedova, Khalidova 2001",кирпич,k-'e-r-b-e-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1559,Akhvakh,akhv1239,кепе'чи,noun,"Magomedova, Abdulayeva 2007",кирпич,k-e-0-p-'e-tʃ-i,kʲ-I-r-pʲ-'i-tɕ-0,,
1560,Akhvakh,akhv1239,кипи'чи,noun,"Magomedova, Abdulayeva 2007",кирпич,k-i-0-p-'i-tʃ-i,kʲ-I-r-pʲ-'i-tɕ-0,,
1561,Andi,andi1255,кирпичи,,Salimov 2010,кирпич,k-i-r-p-i-tʃ-i,kʲ-I-r-pʲ-'i-tɕ-0,,
1562,Godoberi,ghod1238,КИРПИ́Ч/И,,Saidova 2006,кирпич,kʲ-i-r-p-'i-tʃ-i,kʲ-I-r-pʲ-'i-tɕ-0,,
1565,Karata-Tukita,kara1474,КИРПИ'Ч,,"Magomedova, Khalidova 2001",кирпич,k-i-r-p-'i-tʃ,kʲ-I-r-pʲ-'i-tɕ,,
1566,Avar,avar1256,кислорóд,,Gimbatov 2006,кислород,k-i-s-l-o-r-'o-d,kʲ-I-s-l-O-r-'o-D,,
1567,Botlikh_Al,botl1242,кисларо́д,noun,"Alekseev, Azayev 2019",кислород,k-i-s-l-a-r-'o-d,kʲ-I-s-l-O-r-'o-D,,
1568,Avar,avar1256,кислота́,,Gimbatov 2006,кислота,k-i-s-l-o-t-'a,kʲ-I-s-l-O-t-'a,,
1569,Botlikh_Al,botl1242,кислата́,noun,"Alekseev, Azayev 2019",кислота,k-i-s-l-a-t-'a,kʲ-I-s-l-O-t-'a,,
1570,Botlikh,botl1242,кисе́т,noun,"Saidova, Abusov 2012",кисет,k-i-s-'e-t,kʲ-I-sʲ-'e-t,,
1571,Avar,avar1256,ла́гер/ь,,Gimbatov 2006,лагерь,l-'a-g-e-r,l-'a-gʲ-E-rʲ,,
1572,Botlikh_Al,botl1242,ла́гир,noun,"Alekseev, Azayev 2019",лагерь,l-'a-ɡ-i-r,l-'a-gʲ-E-rʲ,,
1573,Botlikh,botl1242,ла́гир,noun,"Saidova, Abusov 2012",лагерь,l-'a-ɡ-i-r,l-'a-gʲ-E-rʲ,,
1574,Karata-Tukita,kara1474,ЛА'ГИР,,"Magomedova, Khalidova 2001",лагерь,l-'a-ɡ-i-r,l-'a-gʲ-E-rʲ,,
1575,Akhvakh,akhv1239,ла'гири,noun,"Magomedova, Abdulayeva 2007",лагерь,l-'a-ɡ-i-r-i,l-'a-gʲ-E-rʲ-0,,
1576,Godoberi,ghod1238,ЛÁГИР/И,,Saidova 2006,лагерь,l-'a-ɡʲ-i-r-i,l-'a-gʲ-E-rʲ-0,,
1577,Avar,avar1256,лак,,Gimbatov 2006,лак,l-'a-k,l-'a-k,,
1578,Bagvalal,bagv1239,ЛАК,,Magomedova 2004,лак,l-a-k,l-'a-k,,
1579,Botlikh_Al,botl1242,лак,noun,"Alekseev, Azayev 2019",лак,l-a-k,l-'a-k,,
1580,Botlikh,botl1242,лак,noun,"Saidova, Abusov 2012",лак,l-a-k,l-'a-k,,
1581,Godoberi,ghod1238,ЛÁКИ,,Saidova 2006,лак,l-'a-kʲ-i,l-'a-k-0,,
1582,Akhvakh,akhv1239,лаᴴпа',noun,"Magomedova, Abdulayeva 2007",лампа,l-ã-0-p-'a,l-'a-m-p-A,,
1583,Botlikh_Al,botl1242,ла́мпа,noun,"Alekseev, Azayev 2019",лампа,l-'a-m-p-a,l-'a-m-p-A,,
1584,Karata-Tukita,kara1474,ЛА'МПА,,"Magomedova, Khalidova 2001",лампа,l-'a-m-p-a,l-'a-m-p-A,,
1586,Bagvalal,bagv1239,ЛАПÁН//ЛÁМПА,,Magomedova 2004,лампа,l-a-0-p-'a-n,l-'a-m-p-A-0,,
1587,Akhvakh,akhv1239,лаᴴ'почка,noun,"Magomedova, Abdulayeva 2007",лампочка,l-'a-0-p-o-tʃ-k-a,l-'a-m-p-O-tɕ-k-A,,
1588,Botlikh_Al,botl1242,ла́мпушка,noun,"Alekseev, Azayev 2019",лампочка,l-'a-m-p-u-ʃ-k-a,l-'a-m-p-O-tɕ-k-A,,
1589,Karata-Tukita,kara1474,ЛАᴴПУ'ЧКА,,"Magomedova, Khalidova 2001",лампочка,l-ã-0-p-'u-tʃ-k-a,l-'a-m-p-O-tɕ-k-A,,
1590,Andi,andi1255,ластиж,,Salimov 2010,ластик,l-a-s-t-i-ʒ,l-'a-s-tʲ-I-k,,
1591,Botlikh_Al,botl1242,ла́вка,noun,"Alekseev, Azayev 2019",лавка,l-'a-w-k-a,l-'a-V-k-A,,
1593,Botlikh,botl1242,ли́же,,"Saidova, Abusov 2012",лыжи,l-'i-ʒ-e,l-'i-ʐ-I,,
1594,Avar,avar1256,лóзунг,,Gimbatov 2006,лозунг,l-'o-z-u-n-g,l-'o-z-U-n-G,,
1595,Botlikh_Al,botl1242,ло́зунг,noun,"Alekseev, Azayev 2019",лозунг,l-'o-z-u-n-ɡ,l-'o-z-U-n-G,,
1596,Avar,avar1256,ларёк,,Gimbatov 2006,ларёк,l-a-rʲ-o-k,l-A-rʲ-'o-k,,
1597,Botlikh_Al,botl1242,ларёк,noun,"Alekseev, Azayev 2019",ларёк,l-a-rʲ-o-k,l-A-rʲ-'o-k,,
1598,Avar,avar1256,лауреа́т,,Gimbatov 2006,лауреат,l-a-u-r-e-'a-t,l-A-U-rʲ-E-'a-t,,
1599,Botlikh_Al,botl1242,лауриа́т,noun,"Alekseev, Azayev 2019",лауреат,l-a-u-r-i-'a-t,l-A-U-rʲ-E-'a-t,,
1600,Akhvakh,akhv1239,лапс̄а',noun,"Magomedova, Abdulayeva 2007",лавсан,l-a-p-sː-'a-0,l-A-V-s-'a-n,,
1601,Akhvakh,akhv1239,лапа'тика,noun,"Magomedova, Abdulayeva 2007",лопатка,l-a-p-'a-t-i-k-a,l-O-p-'a-t-0-k-A,,
1602,Akhvakh,akhv1239,лапа'тка,noun,"Magomedova, Abdulayeva 2007",лопатка,l-a-p-'a-t-k-a,l-O-p-'a-t-k-A,,
1603,Avar,avar1256,лотó,,Gimbatov 2006,лото,l-o-t-'o,l-O-t-'o,,
1604,Botlikh_Al,botl1242,лато́,noun,"Alekseev, Azayev 2019",лото,l-a-t-'o,l-O-t-'o,,
1605,Akhvakh,akhv1239,латаре',noun,"Magomedova, Abdulayeva 2007",лотерея,l-a-t-a-r-'e-0-0,l-O-t-E-rʲ-'e-j-A,,
1606,Akhvakh,akhv1239,латаре'йа,noun,"Magomedova, Abdulayeva 2007",лотерея,l-a-t-a-r-'e-j-a,l-O-t-E-rʲ-'e-j-A,,
1607,Avar,avar1256,лотерéя,,Gimbatov 2006,лотерея,l-o-t-o-r-'e-j-a,l-O-t-E-rʲ-'e-j-A,,
1608,Bagvalal,bagv1239,ЛАТАРÉЙА,,Magomedova 2004,лотерея,l-a-t-a-r-'e-j-a,l-O-t-E-rʲ-'e-j-A,,
1609,Botlikh_Al,botl1242,латаре́,noun,"Alekseev, Azayev 2019",лотерея,l-a-t-a-r-'e-0-0,l-O-t-E-rʲ-'e-j-A,,
1610,Botlikh,botl1242,латаре́,noun,"Saidova, Abusov 2012",лотерея,l-a-t-a-r-'e-0-0,l-O-t-E-rʲ-'e-j-A,,
1611,Godoberi,ghod1238,ЛАТАРÉ,,Saidova 2006,лотерея,l-a-t-a-r-'e-0-0,l-O-t-E-rʲ-'e-j-A,,
1612,Karata-Tukita,kara1474,ЛА'ТАРЕЙ,,"Magomedova, Khalidova 2001",лотерея,l-'a-t-a-r-e-j-0,l-O-t-E-rʲ-'e-j-A,,
1613,Botlikh_Al,botl1242,ле́йка,noun,"Alekseev, Azayev 2019",лейка,l-'e-j-k-a,lʲ-'e-j-k-A,,
1614,Avar,avar1256,лéктор,,Gimbatov 2006,лектор,l-'e-k-t-o-r,lʲ-'e-k-t-O-r,,
1615,Botlikh_Al,botl1242,ле́ктар,noun,"Alekseev, Azayev 2019",лектор,l-'e-k-t-a-r,lʲ-'e-k-t-O-r,,
1616,Avar,avar1256,лéкция,,Gimbatov 2006,лекция,l-'e-k-ts-i-j-a,lʲ-'e-k-ts-I-j-A,,
1617,Botlikh_Al,botl1242,ле́кци,noun,"Alekseev, Azayev 2019",лекция,l-'e-k-ts-i-0-0,lʲ-'e-k-ts-I-j-A,,
1618,Avar,avar1256,лéнта,,Gimbatov 2006,лента,l-'e-n-t-a,lʲ-'e-n-t-A,,
1619,Botlikh_Al,botl1242,ле́нта,noun,"Alekseev, Azayev 2019",лента,l-'e-n-t-a,lʲ-'e-n-t-A,,
1620,Botlikh_Al,botl1242,ли́пта,noun,"Alekseev, Azayev 2019",лифт,l-'i-p-t-a,lʲ-'i-f-t-0,,
1621,Botlikh_Al,botl1242,ли́па,noun,"Alekseev, Azayev 2019",липа,l-'i-p-a,lʲ-'i-p-A,,
1622,Botlikh_Al,botl1242,лист,,"Alekseev, Azayev 2019",лист,l-i-s-t,lʲ-'i-s-t,,
1623,Akhvakh,akhv1239,ли'тира,noun,"Magomedova, Abdulayeva 2007",литр,l-'i-t-i-r-a,lʲ-'i-t-0-r-0,,
1624,Andi,andi1255,литра,,Salimov 2010,литр,l-i-t-r-a,lʲ-'i-t-r-0,,
1625,Bagvalal,bagv1239,Л́ИТРА,,Magomedova 2004,литр,l-'i-t-r-a,lʲ-'i-t-r-0,,
1626,Botlikh_Al,botl1242,ле́тра,noun,"Alekseev, Azayev 2019",литр,l-'e-t-r-a,lʲ-'i-t-r-0,,
1627,Botlikh,botl1242,ли́тр/а,noun,"Saidova, Abusov 2012",литр,l-'i-t-r-a,lʲ-'i-t-r-0,,
1628,Godoberi,ghod1238,ЛИ́ТРА,,Saidova 2006,литр,l-'i-t-r-a,lʲ-'i-t-r-0,,
1629,Karata-Tukita,kara1474,ЛИ'ТРА,,"Magomedova, Khalidova 2001",литр,l-'i-t-r-a,lʲ-'i-t-r-0,,
1630,Botlikh,botl1242,лийо́чик,noun,"Saidova, Abusov 2012",летчик,l-i-j-'o-tʃ-i-k,lʲ-'o-0-0-tɕ-I-k,,
1631,Avar,avar1256,лётчик,,Gimbatov 2006,лётчик,lʲ-o-tʃ-i-k,lʲ-'o-tɕ-I-k,,
1632,Botlikh_Al,botl1242,лёчик,noun,"Alekseev, Azayev 2019",летчик,lʲ-o-tʃ-i-k,lʲ-'o-tɕ-I-k,,
1633,Godoberi,ghod1238,ЛÓЧИК,,Saidova 2006,летчик,l-'o-tʃ-i-k,lʲ-'o-tɕ-I-k,,
1634,Karata-Tukita,kara1474,ЛО'ЧИК,,"Magomedova, Khalidova 2001",летчик,l-'o-tʃ-i-k,lʲ-'o-tɕ-I-k,,
1635,Avar,avar1256,лейтена́нт,,Gimbatov 2006,лейтенант,l-e-j-t-e-n-'a-n-t,lʲ-E-j-tʲ-E-n-'a-n-t,,
1636,Botlikh_Al,botl1242,литина́нт,noun,"Alekseev, Azayev 2019",лейтенант,l-i-0-t-i-n-'a-n-t,lʲ-E-j-tʲ-E-n-'a-n-t,,
1637,Botlikh_Al,botl1242,лека́л,noun,"Alekseev, Azayev 2019",лекало,l-e-k-'a-l-0,lʲ-E-k-'a-l-O,,
1638,Avar,avar1256,лимона́д,,Gimbatov 2006,лимонад,l-i-m-o-n-'a-d,lʲ-E-m-O-n-'a-D,,
1639,Avar,avar1256,ленинѝзм,,Gimbatov 2006,ленинизм,l-e-n-i-n-'i-z-m,lʲ-E-nʲ-I-nʲ-'i-z-m,,
1640,Botlikh_Al,botl1242,ленини́зма,noun,"Alekseev, Azayev 2019",ленинизм,l-e-n-i-n-'i-z-m-a,lʲ-E-nʲ-I-nʲ-'i-z-m-0,,
1641,Botlikh_Al,botl1242,личе́бница,noun,"Alekseev, Azayev 2019",лечебница,l-i-tʃ-'e-b-n-i-ts-a,lʲ-E-tɕ-'e-b-nʲ-I-ts-A,,
1642,Avar,avar1256,лифт,,Gimbatov 2006,лифт,l-i-f-t,lʲ-'i-f-t,,
1643,Botlikh_Al,botl1242,ликвида́тар,noun,"Alekseev, Azayev 2019",ликвидатор,l-i-k-w-i-d-'a-t-a-r,lʲ-I-k-vʲ-I-d-'a-t-O-r,,
1644,Botlikh_Al,botl1242,ликвида́ци,noun,"Alekseev, Azayev 2019",ликвидация,l-i-k-w-i-d-'a-ts-i-0-0,lʲ-I-k-vʲ-I-d-'a-ts-I-j-A,,
1645,Botlikh_Al,botl1242,ликвиди́рават гьи,verb,"Alekseev, Azayev 2019",ликвидировать,l-i-kʷ-0-i-d-'i-r-a-w-a-t,lʲ-I-k-vʲ-I-dʲ-'i-r-O-v-A-tʲ,,
1646,Avar,avar1256,ликёр,,Gimbatov 2006,ликёр,l-i-kʲ-o-r,lʲ-I-kʲ-'o-r,,
1647,Botlikh_Al,botl1242,ликёр,noun,"Alekseev, Azayev 2019",ликер,l-i-kʲ-o-r,lʲ-I-kʲ-'o-r,,
1648,Avar,avar1256,лимóн,,Gimbatov 2006,лимон,l-i-m-'o-n,lʲ-I-m-'o-n,,
1649,Botlikh_Al,botl1242,лимо́н,noun,"Alekseev, Azayev 2019",лимон,l-i-m-'o-n,lʲ-I-m-'o-n,,
1650,Botlikh_Al,botl1242,лимана́д,noun,"Alekseev, Azayev 2019",лимонад,l-i-m-a-n-'a-d,lʲ-I-m-O-n-'a-D,,
1651,Avar,avar1256,линóлеум,,Gimbatov 2006,линолеум,l-i-n-'o-l-e-u-m,lʲ-I-n-'o-lʲ-E-U-m,,
1652,Botlikh_Al,botl1242,лино́лиум,noun,"Alekseev, Azayev 2019",линолеум,l-i-n-'o-l-i-u-m,lʲ-I-n-'o-lʲ-E-U-m,,
1653,Botlikh_Al,botl1242,линчива́т игьи́,verb,"Alekseev, Azayev 2019",линчевать,l-i-n-tʃ-i-w-'a-t,lʲ-I-n-tɕ-E-v-'a-tʲ,,
1654,Avar,avar1256,линéйка,,Gimbatov 2006,линейка,l-i-n-'e-j-k-a,lʲ-I-nʲ-'e-j-k-A,,
1655,Botlikh_Al,botl1242,лине́йка,noun,"Alekseev, Azayev 2019",линейка,l-i-n-'e-j-k-a,lʲ-I-nʲ-'e-j-k-A,,
1656,Avar,avar1256,листóвка,,Gimbatov 2006,листовка,l-i-s-t-'o-w-k-a,lʲ-I-s-t-'o-V-k-A,,
1657,Botlikh_Al,botl1242,листо́вка,noun,"Alekseev, Azayev 2019",листовка,l-i-s-t-'o-w-k-a,lʲ-I-s-t-'o-V-k-A,,
1658,Avar,avar1256,литр,,Gimbatov 2006,литр,l-'i-t-r,lʲ-'i-t-r,,
1659,Avar,avar1256,литератýра,,Gimbatov 2006,литература,l-i-t-e-r-a-t-'u-r-a,lʲ-I-tʲ-E-r-A-t-'u-r-A,,
1660,Bagvalal,bagv1239,ЛИТЕРАТ́УРА,,Magomedova 2004,литература,l-i-t-e-r-a-t-'u-r-a,lʲ-I-tʲ-E-r-A-t-'u-r-A,,
1661,Botlikh_Al,botl1242,литирату́ра,noun,"Alekseev, Azayev 2019",литература,l-i-t-i-r-a-t-'u-r-a,lʲ-I-tʲ-E-r-A-t-'u-r-A,,
1662,Botlikh,botl1242,литирату́ра,noun,"Saidova, Abusov 2012",литература,l-i-t-i-r-a-t-'u-r-a,lʲ-I-tʲ-E-r-A-t-'u-r-A,,
1663,Godoberi,ghod1238,ЛИТИРАТУ́РА,,Saidova 2006,литература,l-i-t-i-r-a-t-'u-r-a,lʲ-I-tʲ-E-r-A-t-'u-r-A,,
1664,Avar,avar1256,ма/й,,Gimbatov 2006,май,m-'a-j,m-'a-j,,
1665,Bagvalal,bagv1239,МÁЙБО̄С̄I,,Magomedova 2004,май,m-'a-j,m-'a-j,,
1666,Botlikh,botl1242,май,noun,"Saidova, Abusov 2012",май,m-a-j,m-'a-j,,
1668,Botlikh_Al,botl1242,май,noun,"Alekseev, Azayev 2019",май,m-a-j,m-'a-j,,
1670,Godoberi,ghod1238,МАЙ,,Saidova 2006,май,m-a-j,m-'a-j,,
1671,Avar,avar1256,мая́тник,,Gimbatov 2006,маятник,m-'a-j-a-t-n-i-k,m-'a-j-A-t-nʲ-I-k,,
1672,Botlikh_Al,botl1242,ма́йатник,noun,"Alekseev, Azayev 2019",маятник,m-'a-j-a-t-n-i-k,m-'a-j-A-t-nʲ-I-k,,
1673,Andi,andi1255,майка,,Salimov 2010,майка,m-a-j-k-a,m-'a-j-k-A,,
1674,Avar,avar1256,ма́йка,,Gimbatov 2006,майка,m-'a-j-k-a,m-'a-j-k-A,,
1675,Bagvalal,bagv1239,МÁЙКА,,Magomedova 2004,майка,m-'a-j-k-a,m-'a-j-k-A,,
1676,Botlikh_Al,botl1242,ма́йка,noun,"Alekseev, Azayev 2019",майка,m-'a-j-k-a,m-'a-j-k-A,,
1677,Botlikh,botl1242,ма́йка,noun,"Saidova, Abusov 2012",майка,m-'a-j-k-a,m-'a-j-k-A,,
1678,Godoberi,ghod1238,МÁЙКЯ,,Saidova 2006,майка,m-'a-j-kʲ-a,m-'a-j-k-A,,
1679,Botlikh_Al,botl1242,ма́нка,noun,"Alekseev, Azayev 2019",манка,m-'a-n-k-a,m-'a-n-k-A,,
